id,User Name,User ID,Follows,Followers,User Location,content,time
1145465902474788864,hamp＠横浜山中,32hamp,1221,909,日本,"RT @pyonpyon_chang: 安城コロナ、めっちゃ楽しかった♬

みんな良い人ばかりだったので、体力消耗激しいイナバウアーも出しちゃいました💓 https://t.co/OFsnaQk14r",Sun Jun 30 22:55:27 +0000 2019
1145465548450328576,のぼさん@未修了,nobosan1,1603,847,愛知県豊橋市,"RT @pyonpyon_chang: 安城コロナ、めっちゃ楽しかった♬

みんな良い人ばかりだったので、体力消耗激しいイナバウアーも出しちゃいました💓 https://t.co/OFsnaQk14r",Sun Jun 30 22:54:03 +0000 2019
1145465103304671233,太陽マヂックbot,taiyoumagic_bot,5,4,8.3光分むこう,コロナは九十三万五百,Sun Jun 30 22:52:16 +0000 2019
1145465061583884288,JUN,jun7269,366,775,,"RT @lvtp7: ここは大洗？
日照専務、日野屋ママ、常盤さん、西村館長、
信じられない豪華メンバーが安城コロナに集まっていた。
この企画を進めてくれたコロナさんに本当に感謝。
ヴィーゼルよりまいわい号に乗りたがるお客さんが何人もみえてウケたｗ https://t.co/D…",Sun Jun 30 22:52:07 +0000 2019
1145464890653470720,G13B,spcub,521,579,静岡県,"RT @pyonpyon_chang: 安城コロナ、めっちゃ楽しかった♬

みんな良い人ばかりだったので、体力消耗激しいイナバウアーも出しちゃいました💓 https://t.co/OFsnaQk14r",Sun Jun 30 22:51:26 +0000 2019
1145464357335101440,真打刀不知火,Pokmon24491894,192,48,,"おはようございます🌞7月5日投げますコロナ7/1も頑張ります！
仕事",Sun Jun 30 22:49:19 +0000 2019
1145463741883928577,Edge（エッヂ）Ω😈🐸,51script,3962,3249,🧀🛌,@corona_rom おはエッヂありコロナ ⸜(* ॑꒳ ॑*  )⸝,Sun Jun 30 22:46:52 +0000 2019
1145463102751641605,ダメダメ鶏脳@_(：3」∠)_,asl_annual,316,50,"Yokohama,Japan","RT @pyonpyon_chang: 安城コロナ、めっちゃ楽しかった♬

みんな良い人ばかりだったので、体力消耗激しいイナバウアーも出しちゃいました💓 https://t.co/OFsnaQk14r",Sun Jun 30 22:44:20 +0000 2019
1145463055074988032,エルセ🦈💙 #深海フェス,Else_PJblue,353,15437,だれもしらないうみのそこ,@corona_rom コロナさんおはさめ～～🦈💙,Sun Jun 30 22:44:08 +0000 2019
1145462936250400768,わんDOGにゃんCAT,wandognyancat,65,68,,RT @wkwk_maker: 安城コロナに向けて出発！ https://t.co/3nSEQw2FwR,Sun Jun 30 22:43:40 +0000 2019
